Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.30      0.76     0.01                             __gnu_cxx::__aligned_membuf<std::vector<int, std::allocator<int> > >::_M_addr()
  0.65      0.76     0.01   288567     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_M_cget() const
  0.65      0.77     0.01   245038     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.65      0.77     0.01       13     0.38     0.38  std::allocator_traits<std::allocator<std::__detail::_Hash_node_base*> >::deallocate(std::allocator<std::__detail::_Hash_node_base*>&, std::__detail::_Hash_node_base**, unsigned long)
  0.00      0.77     0.00  6095615     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.77     0.00  3412836     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.77     0.00  3351775     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.77     0.00  3351775     0.00     0.00  int const* std::__lc_rai<std::random_access_iterator_tag, std::random_access_iterator_tag>::__newlast1<int const*, int const*>(int const*, int const*, int const*, int const*)
  0.00      0.77     0.00  3351775     0.00     0.00  bool std::lexicographical_compare<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.77     0.00  3351775     0.00     0.00  bool std::operator< <int, std::allocator<int> >(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
  0.00      0.77     0.00  3170328     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.77     0.00  3110578     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::vector<int, std::allocator<int> > const, int> >::_M_ptr() const
  0.00      0.77     0.00  3110578     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::vector<int, std::allocator<int> > const, int> >::_M_addr() const
  0.00      0.77     0.00  3110578     0.00     0.00  std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >::operator()(std::pair<std::vector<int, std::allocator<int> > const, int> const&) const
  0.00      0.77     0.00  3110578     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::_S_key(std::_Rb_tree_node<std::pair<std::vector<int, std::allocator<int> > const, int> > const*)
